checked_at,keyword,device,status,screenshot
2026-05-08 13:50:46,쿠쿠스피드팟,MO,노출,screenshots/쿠쿠스피드팟_MO_exposed_20260508_135046.png
2026-05-08 13:50:48,쿠쿠믹서기,MO,노출,screenshots/쿠쿠믹서기_MO_exposed_20260508_135048.png
2026-05-08 13:50:51,쿠쿠두유제조기,MO,노출,screenshots/쿠쿠두유제조기_MO_exposed_20260508_135051.png
2026-05-08 13:50:55,쿠쿠압력밥솥,MO,노출,screenshots/쿠쿠압력밥솥_MO_exposed_20260508_135055.png
2026-05-08 13:50:58,쿠쿠밥솥,MO,노출,screenshots/쿠쿠밥솥_MO_exposed_20260508_135058.png
2026-05-08 13:51:01,쿠쿠전자레인지,MO,노출,screenshots/쿠쿠전자레인지_MO_exposed_20260508_135101.png
2026-05-08 13:51:03,쿠쿠전자렌지,MO,노출,screenshots/쿠쿠전자렌지_MO_exposed_20260508_135103.png
2026-05-08 13:51:06,쿠쿠김치냉장고,MO,노출,screenshots/쿠쿠김치냉장고_MO_exposed_20260508_135106.png
2026-05-08 13:51:10,쿠쿠냉장고,MO,노출,screenshots/쿠쿠냉장고_MO_exposed_20260508_135110.png
2026-05-08 13:51:13,쿠쿠저당밥솥,MO,노출,screenshots/쿠쿠저당밥솥_MO_exposed_20260508_135112.png
2026-05-08 13:51:15,쿠쿠저당밥솥6인용,MO,노출,screenshots/쿠쿠저당밥솥6인용_MO_exposed_20260508_135115.png
2026-05-08 13:51:18,쿠쿠가스레인지,MO,노출,screenshots/쿠쿠가스레인지_MO_exposed_20260508_135118.png
2026-05-08 13:51:20,쿠쿠가스렌지,MO,노출,screenshots/쿠쿠가스렌지_MO_exposed_20260508_135120.png
2026-05-08 13:51:24,쿠쿠인덕션,MO,노출,screenshots/쿠쿠인덕션_MO_exposed_20260508_135124.png
2026-05-08 13:51:32,쿠쿠인덕션3구,MO,노출,screenshots/쿠쿠인덕션3구_MO_exposed_20260508_135132.png
2026-05-08 15:19:39,쿠쿠,PC,노출,screenshots/쿠쿠_PC_exposed_20260508_151939.png
2026-05-08 15:19:42,쿠쿠몰,PC,노출,screenshots/쿠쿠몰_PC_exposed_20260508_151942.png
2026-05-08 15:19:46,쿠쿠에어프라이어,PC,노출,screenshots/쿠쿠에어프라이어_PC_exposed_20260508_151946.png
2026-05-08 15:19:48,쿠쿠에어프라이기,PC,노출,screenshots/쿠쿠에어프라이기_PC_exposed_20260508_151948.png
2026-05-08 15:19:52,쿠쿠식기세척기,PC,노출,screenshots/쿠쿠식기세척기_PC_exposed_20260508_151952.png
2026-05-08 15:19:54,쿠쿠식세기,PC,노출,screenshots/쿠쿠식세기_PC_exposed_20260508_151954.png
2026-05-08 15:19:58,쿠쿠음식물처리기,PC,노출,screenshots/쿠쿠음식물처리기_PC_exposed_20260508_151958.png
2026-05-08 15:20:01,쿠쿠에코웨일,PC,노출,screenshots/쿠쿠에코웨일_PC_exposed_20260508_152001.png
2026-05-08 15:20:05,넬로,PC,노출,screenshots/넬로_PC_exposed_20260508_152005.png
2026-05-08 15:20:09,넬로펫드라이룸,PC,노출,screenshots/넬로펫드라이룸_PC_exposed_20260508_152009.png
2026-05-08 15:20:13,쿠쿠멀티쿠커,PC,노출,screenshots/쿠쿠멀티쿠커_PC_exposed_20260508_152013.png
2026-05-08 15:20:15,쿠쿠스피드팟,PC,노출,screenshots/쿠쿠스피드팟_PC_exposed_20260508_152015.png
2026-05-08 15:20:17,쿠쿠믹서기,PC,노출,screenshots/쿠쿠믹서기_PC_exposed_20260508_152017.png
2026-05-08 15:20:21,쿠쿠두유제조기,PC,노출,screenshots/쿠쿠두유제조기_PC_exposed_20260508_152021.png
2026-05-08 15:20:25,쿠쿠압력밥솥,PC,노출,screenshots/쿠쿠압력밥솥_PC_exposed_20260508_152025.png
2026-05-08 15:20:28,쿠쿠밥솥,PC,노출,screenshots/쿠쿠밥솥_PC_exposed_20260508_152028.png
2026-05-08 15:20:31,쿠쿠전자레인지,PC,노출,screenshots/쿠쿠전자레인지_PC_exposed_20260508_152030.png
2026-05-08 15:20:33,쿠쿠전자렌지,PC,노출,screenshots/쿠쿠전자렌지_PC_exposed_20260508_152033.png
2026-05-08 15:20:35,쿠쿠김치냉장고,PC,노출,screenshots/쿠쿠김치냉장고_PC_exposed_20260508_152035.png
2026-05-08 15:20:37,쿠쿠냉장고,PC,노출,screenshots/쿠쿠냉장고_PC_exposed_20260508_152037.png
2026-05-08 15:20:40,쿠쿠저당밥솥,PC,노출,screenshots/쿠쿠저당밥솥_PC_exposed_20260508_152040.png
2026-05-08 15:20:42,쿠쿠저당밥솥6인용,PC,노출,screenshots/쿠쿠저당밥솥6인용_PC_exposed_20260508_152042.png
2026-05-08 15:20:46,쿠쿠가스레인지,PC,노출,screenshots/쿠쿠가스레인지_PC_exposed_20260508_152046.png
2026-05-08 15:20:49,쿠쿠가스렌지,PC,노출,screenshots/쿠쿠가스렌지_PC_exposed_20260508_152049.png
2026-05-08 15:20:53,쿠쿠인덕션,PC,노출,screenshots/쿠쿠인덕션_PC_exposed_20260508_152053.png
2026-05-08 15:20:56,쿠쿠인덕션3구,PC,노출,screenshots/쿠쿠인덕션3구_PC_exposed_20260508_152056.png
2026-05-08 15:21:06,쿠쿠,MO,노출,screenshots/쿠쿠_MO_exposed_20260508_152106.png
2026-05-08 15:21:10,쿠쿠몰,MO,노출,screenshots/쿠쿠몰_MO_exposed_20260508_152110.png
2026-05-08 15:21:12,쿠쿠에어프라이어,MO,노출,screenshots/쿠쿠에어프라이어_MO_exposed_20260508_152112.png
2026-05-08 15:21:15,쿠쿠에어프라이기,MO,노출,screenshots/쿠쿠에어프라이기_MO_exposed_20260508_152115.png
2026-05-08 15:21:18,쿠쿠식기세척기,MO,노출,screenshots/쿠쿠식기세척기_MO_exposed_20260508_152117.png
2026-05-08 15:21:20,쿠쿠식세기,MO,노출,screenshots/쿠쿠식세기_MO_exposed_20260508_152120.png
2026-05-08 15:21:23,쿠쿠음식물처리기,MO,노출,screenshots/쿠쿠음식물처리기_MO_exposed_20260508_152123.png
2026-05-08 15:21:27,쿠쿠에코웨일,MO,노출,screenshots/쿠쿠에코웨일_MO_exposed_20260508_152127.png
2026-05-08 15:21:29,넬로,MO,노출,screenshots/넬로_MO_exposed_20260508_152129.png
2026-05-08 15:21:33,넬로펫드라이룸,MO,노출,screenshots/넬로펫드라이룸_MO_exposed_20260508_152133.png
2026-05-08 15:21:35,쿠쿠멀티쿠커,MO,노출,screenshots/쿠쿠멀티쿠커_MO_exposed_20260508_152135.png
2026-05-08 15:21:38,쿠쿠스피드팟,MO,노출,screenshots/쿠쿠스피드팟_MO_exposed_20260508_152138.png
2026-05-08 15:21:41,쿠쿠믹서기,MO,노출,screenshots/쿠쿠믹서기_MO_exposed_20260508_152141.png
2026-05-08 15:21:43,쿠쿠두유제조기,MO,노출,screenshots/쿠쿠두유제조기_MO_exposed_20260508_152143.png
2026-05-08 15:21:46,쿠쿠압력밥솥,MO,노출,screenshots/쿠쿠압력밥솥_MO_exposed_20260508_152145.png
2026-05-08 15:21:50,쿠쿠밥솥,MO,노출,screenshots/쿠쿠밥솥_MO_exposed_20260508_152150.png
2026-05-08 15:21:52,쿠쿠전자레인지,MO,노출,screenshots/쿠쿠전자레인지_MO_exposed_20260508_152152.png
2026-05-08 15:21:55,쿠쿠전자렌지,MO,노출,screenshots/쿠쿠전자렌지_MO_exposed_20260508_152155.png
2026-05-08 15:21:58,쿠쿠김치냉장고,MO,노출,screenshots/쿠쿠김치냉장고_MO_exposed_20260508_152158.png
2026-05-08 15:22:00,쿠쿠냉장고,MO,노출,screenshots/쿠쿠냉장고_MO_exposed_20260508_152200.png
2026-05-08 15:22:03,쿠쿠저당밥솥,MO,노출,screenshots/쿠쿠저당밥솥_MO_exposed_20260508_152203.png
2026-05-08 15:22:05,쿠쿠저당밥솥6인용,MO,노출,screenshots/쿠쿠저당밥솥6인용_MO_exposed_20260508_152205.png
2026-05-08 15:22:07,쿠쿠가스레인지,MO,노출,screenshots/쿠쿠가스레인지_MO_exposed_20260508_152207.png
2026-05-08 15:22:10,쿠쿠가스렌지,MO,노출,screenshots/쿠쿠가스렌지_MO_exposed_20260508_152210.png
2026-05-08 15:22:12,쿠쿠인덕션,MO,노출,screenshots/쿠쿠인덕션_MO_exposed_20260508_152212.png
2026-05-08 15:22:16,쿠쿠인덕션3구,MO,노출,screenshots/쿠쿠인덕션3구_MO_exposed_20260508_152216.png
